                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6371,                 3.3665,                 1.4156,                   0.05,                 0.8982,                0.23531,                0.15169,                 1.1102,                 2.9938,                0.96951,                  8e-05,                  8e-05,                  8e-05
                      2,                 1.4255,                  2.788,                 1.1808,                0.05433,                0.97605,                0.48962,                0.26843,                 1.2509,                 2.8404,                0.98895,             0.00017406,             0.00017406,             0.00017406
                      3,                 1.4424,                    1.5,                 1.1328,                0.80331,                 0.3913,                 0.6515,                0.39907,                 1.2333,                 2.2642,                0.98468,             0.00026152,             0.00026152,             0.00026152
                      4,                 1.3096,                 1.0703,                 1.1005,                0.83776,                0.37126,                0.68427,                0.45858,                 1.2094,                 2.1096,                0.97843,             0.00034238,             0.00034238,             0.00034238
                      5,                 1.3135,                0.99475,                 1.1111,                0.89925,                0.42758,                0.70549,                0.47329,                 1.2396,                 2.1175,                 1.0066,             0.00041664,             0.00041664,             0.00041664
                      6,                 1.2677,                0.95161,                  1.085,                0.98635,                0.43286,                 0.7476,                0.50229,                 1.2566,                 2.2087,                 1.0314,              0.0004843,              0.0004843,              0.0004843
                      7,                 1.2331,                0.91463,                 1.0817,                0.98772,                0.48152,                0.83706,                0.56014,                 1.2153,                 2.1782,                 1.0281,             0.00054536,             0.00054536,             0.00054536
                      8,                 1.2356,                0.93709,                 1.1138,                0.98709,                0.45787,                0.85261,                0.55302,                 1.2611,                 2.1796,                 1.0445,             0.00059982,             0.00059982,             0.00059982
                      9,                  1.231,                0.91241,                 1.0633,                0.98961,                0.57046,                0.83865,                0.53493,                 1.2541,                 2.0947,                 1.0515,             0.00064768,             0.00064768,             0.00064768
                     10,                 1.1783,                0.84447,                 1.0649,                0.95625,                0.65439,                0.80606,                0.49729,                 1.4025,                 1.8628,                 1.1612,             0.00068894,             0.00068894,             0.00068894
                     11,                 1.2285,                0.83005,                 1.0805,                0.94657,                0.74262,                0.86206,                 0.5828,                 1.2179,                 1.4851,                 1.0533,              0.0007236,              0.0007236,              0.0007236
                     12,                 1.1929,                0.82188,                 1.0841,                0.94523,                0.76048,                0.87857,                0.57961,                 1.2562,                 1.4796,                 1.0586,             0.00075166,             0.00075166,             0.00075166
                     13,                 1.1558,                0.80252,                 1.0636,                0.97026,                 0.7813,                0.88046,                 0.5646,                 1.3063,                 1.5377,                   1.08,             0.00077312,             0.00077312,             0.00077312
                     14,                 1.1923,                0.81032,                 1.0429,                0.95749,                0.80926,                0.93568,                0.61842,                 1.2022,                 1.4553,                 1.0194,             0.00078798,             0.00078798,             0.00078798
                     15,                 1.1666,                0.79098,                 1.0678,                0.91433,                0.79042,                0.88902,                0.58566,                 1.2688,                 1.4363,                 1.0627,             0.00079624,             0.00079624,             0.00079624
                     16,                 1.1364,                0.78462,                 1.0423,                0.91333,                0.82036,                0.90603,                0.59919,                 1.2356,                 1.3368,                 1.0489,              0.0007979,              0.0007979,              0.0007979
                     17,                 1.1356,                0.77367,                 1.0686,                0.92997,                0.82635,                0.91816,                0.61143,                  1.231,                 1.2318,                 1.0323,             0.00079296,             0.00079296,             0.00079296
                     18,                 1.0751,                0.73902,                 1.0302,                0.91283,                0.81515,                 0.8997,                0.59237,                  1.253,                 1.1874,                 1.0464,             0.00078142,             0.00078142,             0.00078142
                     19,                 1.1462,                0.76357,                 1.0689,                0.94835,                0.80838,                0.87143,                0.53107,                 1.4138,                 1.2108,                 1.1261,             0.00076328,             0.00076328,             0.00076328
                     20,                 1.1314,                0.75547,                 1.0559,                0.96648,                0.86328,                0.94219,                0.64492,                 1.1425,                0.94382,                 1.0053,             0.00073854,             0.00073854,             0.00073854
                     21,                 1.1029,                0.76883,                 1.0789,                0.95434,                0.87611,                0.95532,                0.66876,                 1.0975,                0.89483,                0.98638,                0.00068,                0.00068,                0.00068
                     22,                 1.0638,                0.73108,                  1.032,                0.96618,                0.88623,                0.96396,                0.66564,                  1.123,                0.91284,                0.98787,                0.00068,                0.00068,                0.00068
                     23,                 1.0734,                 0.7404,                 1.0278,                 0.9778,                0.88024,                 0.9663,                0.65109,                   1.18,                0.94734,                  1.003,               0.000614,               0.000614,               0.000614
                     24,                 1.0722,                0.74089,                  1.005,                0.95002,                0.91061,                0.97086,                0.69173,                 1.0806,                0.88163,                0.96863,               0.000548,               0.000548,               0.000548
                     25,                 1.0549,                0.72432,                 1.0223,                0.95181,                0.94614,                0.98322,                0.68729,                  1.085,                0.82889,                 0.9741,               0.000482,               0.000482,               0.000482
                     26,                 1.0312,                 0.6947,                 1.0094,                0.95513,                0.94012,                0.98309,                 0.6841,                 1.0797,                0.78328,                0.97937,               0.000416,               0.000416,               0.000416
                     27,                 1.0285,                0.69435,                 1.0179,                0.93314,                 0.9521,                0.98347,                0.68174,                 1.0902,                0.76229,                0.98874,                0.00035,                0.00035,                0.00035
                     28,                 1.0162,                0.68124,                 1.0187,                0.93828,                 0.9521,                0.98017,                0.68992,                 1.0759,                0.70981,                0.98833,               0.000284,               0.000284,               0.000284
                     29,                 1.0264,                0.67446,                  1.014,                0.94744,                0.97139,                0.98475,                0.70506,                 1.0504,                0.68696,                0.98122,               0.000218,               0.000218,               0.000218
                     30,                 1.0007,                0.67343,                  1.002,                0.95222,                0.95808,                 0.9821,                 0.7008,                 1.0478,                0.67644,                0.98337,               0.000152,               0.000152,               0.000152
